	PRODUTO	PREÇO
62	Retratos latino-americanos: a recordação letrada de intelectuais e artistas do século XX - de Castañón - Adolfo Editorial Edições Sesc São Paulo - tapa mole en português - 2019	R$58.00
63	Como Terminam As Análises: Paradoxos Do Passe - De Jacques-alain Miller - Vol 1 Editora Zahar - Capa Mole - Edição 1 Em Português - 2023	R$130.00
64	Box Dvd Revenge 2ª Temporada Completa - 5 Dvds - Novos	R$35.00
65	O último ancestral - de Santos - Ale Editorial Casa dos Livros Editora Ltda - tapa dura en português - 2021	R$46.00
66	Encontros com Shakespeare - de Daniels - Ron Editorial Edições Sesc São Paulo - tapa dura en português - 2019	R$41.00
67	Livro Duas Taticas Da Social-democracia Na Revolução Democrática	R$34.00
68	Box 4 Dvds The Riches - Primeira Temporada	R$34.00
69	Dvd Box - Big Bang A Teoria 2ª Temporada	R$37.00
70	Box Mad Men - Primeira Temporada	R$70.00
71	Novas Tendências em Psiquiatria: Reflexões e Desafios - de Pompili - Maurizio Editorial Artmed - tapa mole en português - 2022	R$71.00
72	Box Dvd - Downton Abbey - 2ª Temporada (4 Dvds)	R$35.00
73	Nip Tuck - segunda temporada - dois DVDs	R$60.00
74	Cd Prince - The Hits 1	R$120.00
75	O Relatório De Brodeck - Volume Único Exclusivo	R$355.00
76	Hegel e o poder: Um ensaio sobre amabilidade - de Han - Byung-Chul Editorial Editora Vozes - tapa mole en português - 2022	R$38.00
77	SMS para você - de Cramer - Sofie Editorial Editora Pensamento-Cultrix Ltda - tapa mole en português - 2021	R$26.00
78	Inovação e Traição: Um ensaio sobre fidelidade e tecnologia - de de Barros Filho - Clóvis Editorial Editora Vozes Ltda - tapa mole en português - 2017	R$22.00
79	O Conto Do Rouxinol: Em Cordel Sandra Lane Ed Alet - De Sandra Lane Editora Aletria Em Português	R$28.00
80	Amanhã vai ser maior: O que aconteceu com o Brasil e possíveis rotas de fuga para a crise atual - de Pinheiro-Machado - Rosana Editorial Editora Planeta do Brasil Ltda - tapa mole en português - 2019	R$25.00
81	Excitadx: Histórias curiosas sobre como os hormônios controlam praticamente tudo - de Hutter Epstein - Randi Editorial CDG Edições e Publicações Eireli - tapa mole en português - 2021	R$15.00
82	Otorrinolaringología Pediátrica Thieme Revinter en portugués 2023	R$116.00
83	Crec - De Marcela C Hilb Editorial Pingo De Luz - Capa Mole - Edição 1 Em Português - 2023	R$44.00
84	Coleção Grey's Anatomy - 3ª Temporada (7 Dvds)	R$40.00
85	O Seminário - livro 18: De um discurso que não fosse semblante - de Lacan - Jacques Editorial Editora Schwarcz SA - tapa mole en português - 2009	R$58.00
86	Livro Jim Morrison E The Doors	R$40.00
87	A montanha no oceano: Meditação e compaixão no budismo e no cristianismo - de Leloup - Jean-Yves UNIPAZ - Colégio Internacional dos Terapeutas Editorial Editora Vozes Ltda - tapa mole en português - 202	R$35.00
88	Livro Ideogramas E A Cultura Chinesa - Tai Hsuan-an	R$809.00
89	Jardim Das Bonecas - De Joyce Carol Oates Editora Darkside - Capa Dura Em Português	R$31.00
90	Anatomia do cão: Texto e Atlas - de Budras - Dieter-Klaus Editorial Editora Manole LTDA - capa dura em português - 2012	R$242.00
91	Ataque Dos Titas (2 Em 1) - Vol 04: Ataque Dos Titãs (2 Em 1) - Vol 04 - De Isayama - Hajime Hqs E Mangás - Vol Mangás Editorial Panini - Tapa Mole - Edición Mangás En Português - 20	R$48.00
92	One-Punch Man Vol 17 - de One Editorial Panini Brasil LTDA - tapa mole en português - 2019	R$129.00
93	Livro Perdendo Um Dia De Cada Vez	R$58.00
94	Exu E A Ordem Do Universo	R$132.00
95	Campos - Estádios E Arenas De Futebol Começa O Espetáculo!	R$170.00
96	Fundamentos Da Navegação Aérea Para Piloto Privado	R$53.91
97	Livro Atalanta Fugiens	R$160.00
98	Livro - Insetos: Magia - Formas E Cores - Lester Scalon - Capa Dura	R$233.00
99	Paso A Paso Para Conductas Clinicas En Odontopediatría - Ed Espanhol	R$359.00
100	Livro A Preparação Do Romance Vol Ii - Roland Barthes	R$52.00
101	Livro Calvin E Haroldo Vol 14	R$35.00
102	Livro Vimalakirtinirdesha - La Enseñanza De Vimalakirti	R$531.00
103	Grey's Anatomy 4a Temporada Estendida - Box Com 7 Dvds	R$58.00
104	Box Dvd's Body Of Proof - 1 Temporada Completa	R$50.00
105	Box Dvd Csi:ny - Primeira Temporada - Volume 2	R$125.00
106	Box Dvd Csi: Ny - Primeira Temporada - Volume 3	R$110.00
107	Livro Urban Arts - 10 Anos - André Diniz	R$71.00
108	Box Dvd Homeland - Primeira Temporada - Novo Lacrado	R$30.00
109	Box Dvd Série - Without A Trace Desaparecidos - 1a Temporada	R$65.00
110	Dvd Greys Anatomy - 5o Temporada - Novo Lacrado	R$69.00
111	Dvd Grey's Anatomy - Segunda Temporada Pt 2 - Novo Lacrado	R$50.00
112	Dvd Damages - Quarta Temporada - 3 Discos - Lacrado	R$45.00
113	Dvd Box Criminal Minds - 6a Temporada - 6 Discos	R$60.00
114	Dvd's Box - Criminal Minds - Segunda Temporada - 6 Discos	R$55.00
115	Cd Grey's Anatomy Origiral Soudtrack - Volume 4	R$150.00
116	Box Vhs - Hollywood Musicals	R$200.00
117	Box Dvd Csi: Miami - Primeira Temporada - Volume 1	R$45.00
118	Dvd Vinicius De Moraes - Duplo - Lacrado	R$28.00
119	Dvd Box Lacrado - Nip Tuck - 3° Temporada Completa	R$40.00
120	Cd Prince And The Revolution - Purple Rain	R$39.00
121	Cavaleiros Do Zodíaco Vol 1 - Saint Seiya Kanzenban Raro	R$269.00
122	Hq Batman - A Piada Mortal - Edição De 1988 Abril (usado)	R$78.00
123	Livro Raro Homens Ensaio Nus Vânia Toledo 1°edição Completo	R$1.399.00
124	Box Dvd O Melhor Do Chaves - Chapolin Colorado E Chespirito	R$290.00
125	Cd The Pussy Dolls - Doll Domination	R$50.00
126	Hq Homem Aranha Azul - 3 Volumes (usado)	R$75.00
127	Cd Red Hot Chili Peppers - Greatest Hits	R$45.00
128	Cd Michael Jackson - King Of Pop - Brazilian Collection	R$38.00
129	Box Dvd Criminal Minds- 1ª Primeira Temporada (novo)	R$45.00
130	Box Dvd Sex And The City - 6 Temporadas	R$70.00
131	Box Dvd Csi: Ny - Primeira Temporada - Volume 1	R$49.00
132	Elvis Presley - Garotas E Mais Garotas Girls Girls Girls Lp	R$99.00
133	Box O Poderoso Chefão - Coleção 5 Discos	R$65.00
134	Dvd A Última Tempestade / Peter Greenaway Original	R$120.00
135	Box The Endless River - Pink Floyd - Cd + Dvd	R$119.00
136	Box Dvd The Goodwife - Temporadas 1 - 2 E 3	R$150.00
137	Box Dvds - The Good Wife - 3ª Temporada Box - 6 Discos	R$32.00
138	Dvd Box Roma - 2ª Temporada	R$21.00
139	Cd The Corrs - The Ultimate Corrs Collection	R$24.00
140	Cd The Best Of Ub40 - Volume 1	R$19.00
141	Box Dvd Friends - 6º Temporada Completa 4 Discos	R$20.00
142	Box 3 Dvds The Tudors- 4a Temporada- Sedução Final	R$29.00
143	Lp Vinil Quiet Riot - Condition Critical	R$90.00
144	Cd Pearl Jam -binaural	R$20.00
145	Dvd Box Nip Tuck - Quinta Temporada	R$27.00
146	Lp Vinil Capital Inicial - Você Não Precisa Entender	R$55.00
147	Cd The Beatles 1962-1966 Álbum Duplo	R$69.00
148	Dvd Box Game Of Thrones - Quinta Temporada	R$35.00
149	Box 5 Dvds Sex And The City - 6ª Temporada	R$20.00
150	Cd A Ragamuffin Band - Prayers Of A Ragamuffin	R$58.00
151	Lp The Beatle - That Time Forgot	R$150.00
152	Dvd Box Teen Wolf - 1º Temporada	R$30.00
153	Cd The Corrs - Home	R$25.00
154	Box Friends - 9ª Temporada Completa 4 Dvds	R$20.00
155	Box Dvd Dexter - 1ª Temporada	R$20.00
156	Cd Duplo Madonna - Mdna- Edição Deluxe	R$35.00
157	Box Dvd Dexter - 7º Temporada	R$38.00
158	Box 3 Dvd's - Cleopatra - Special Edition	R$48.00
159	Dvd Box Friends - 2ª Segunda Temporada	R$48.00
160	Dvd Box Sex And The City - 3ª Temporada	R$25.00
161	Dvd Box Nip Tuck - 4ª Temporada Completa	R$27.00
162	Box 8 Dvds American Horror Story - 1º E 2º Temporada	R$65.00
163	Lp Vinil Paul Mccartney - Pipes Of Peace	R$70.00
164	Cd Pearl Jam - No Code	R$25.00
165	Dvd Jurassic Park - Edição De Colecionador	R$50.00
166	Cd Prince - Come	R$55.00
167	Cd Aerosmith - Rocks	R$40.00
168	Dvd Box - Nip Tuck - 5º Temporada Parte Dois	R$45.00
169	Cd Destiny's Child - The Whriting's On The Wall	R$29.00
170	Hq Justiça - Dc Comics - Completa - 12 Volumes	R$180.00
171	Dvd Box Californication - 1ª E 2ª Temporadas	R$27.00
172	Cd Guardiões Da Galáxia - Awesome Mix - Vol 1	R$79.00
173	Box Dvd American Horror Story - Asylum - 2º Temporada	R$30.00
174	Cd The Corrs - Borrowed Heaven	R$19.00
175	Box Dvd - Game Of Thrones 3ª Temporada (5 Discos)	R$23.00
176	Box Dvd Downton Abbey - Primeira E Segunda Temporada	R$33.00
177	The Goodwife - A Primeira Temporada - Box 6 Dvds	R$23.00
178	Box Lata Patrick Swayze 5 Dvds Ed Especial Original	R$245.00
179	Dvd Duplo - Led Zeppelin (2003)	R$94.00
180	Cd The Beatles - Anthology 2	R$100.00
181	Cd Santana - Shaman	R$22.00
182	Cd The Rolling Stones - Bridges To Babylon	R$28.00
183	Cd The Beatles - 1	R$38.00
184	Cd Pink Floyd - The Greatest Hits Live	R$20.00
185	Cd Paul Mccartney - Paul Is Live	R$30.00
186	Cd Van Halen - Balance	R$50.00
187	Box : Os Simpsons - 9ª Temporada - 4 Dvd's	R$70.00
188	Cd Toto - Through The Looking Glass	R$30.00
189	Dvd Box Nip Tuck - Primeira Temporada Completa - 5 Discos	R$19.00
190	Cd Pink Floyd - Delicate Sound Of Thunder	R$68.00
191	Cd Duplo Prince - Sign O' The Times	R$110.00
192	Cd Usado Iron Maiden No Prayer For The Dying Cdu4255	R$35.00
193	Cd Midnight Oil - 20000 Watt Rsl	R$19.00
194	Cd Jessie J - Who You Are	R$18.00
195	Cd Eric Clapton - Pilgrim	R$20.00
196	Dvd Simpsons - 8ª temporada Completa	R$70.00
197	Hq Justice League Of America - Archives Editions - Volume 01	R$710.00
198	Dvd Box Sex And The City - 4ª Temporada	R$22.00
199	Kit Cd + Dvd Madonna - Im Going To Tell You A Secret	R$50.00
200	Dvd Simpsons 7ª temporada Completa	R$49.00
201	Box Zorro - Primeira Temporada - 5 Discos	R$50.00
